,author,sentence,pet,pos_tag,is_euph,replacement,category
7883,je,"you may be distressed to see an elderly person struggling with heavy packages, but unless you offer to help or at least express a wish to help but explain why you can't, your compassion goes to waste",elderly,JJ,,,
7921,je,"among the study participants who experienced ischemia during one or both tests, this adverse reaction to mental stress took a significantly greater toll on the hearts and lives of the patients than did physical stress",experienced,VBD,,,
7957,je,"it found that patients who experienced a high level of psychological stress during the year before they entered the study were more than twice as likely to suffer a heart attack during an average follow-up of five years, even when traditional risk factors were taken into account",experienced,VBD,,,
8010,je,not that i expect to do anything to hasten my demise,demise,NN,,,
8024,je,but i'm also now taking stock of the many common hallmarks of aging and deciding what i need to reconsider,aging,VBG,,,
8057,je,"petrow, who is also a columnist but is nearly two decades younger than i, began thinking ahead after watching the missteps of his aging parents, like waiting too long to get hearing aids",aging,VBG,,,
8072,je,the secret to successful aging is to recognize one's issues and adapt accordingly,aging,NN,,,
8110,je,"like many other cars now on the market, the subaru has several protective bells and whistles that compensate for the declining senses and slower reactions that accompany aging",aging,VBG,,,
8112,je,my late husband called our house an air raid shelter that could sustain us for a year,late,JJ,,,
8136,je,"he told me i reminded him of an elderly woman he knew who kept pieces of string ""too small to use",elderly,JJ,yes,,
8166,je,"but what if one of the presurgical tests your doctor orders -- for example, a chest x-ray or cardiac stress test -- turns up something unexpected, like a suspicious nodule or a mild heart abnormality",chest,JJ,no,,
8189,je,"but a chest x-ray, ordered because he had a history of mild asthma, suggested he had a nodule on a lung",chest,JJ,no,,
8232,je,"rubin could not explain, patients without risk factors who were given a cardiac stress test had double the surgical complication rate experienced by comparable patients who did not have one",experienced,VBN,no,,
8250,je,"all were part of the baltimore longitudinal study of aging, and had vision and cognition tests every one to four years between 2003 and 2019",aging,VBG,,,
8298,jm,"when affirmative action was put into practice around a half-century ago, with legalized segregation so recent, it was reasonable to think of being black as a shorthand for being disadvantaged, whatever a black person's socioeconomic status was",disadvantaged,VBN,,,
8327,jm,"i think a mature america is now in a position to extend the moral sophistication of affirmative action to disadvantaged people of all races or ethnicities, especially since, as a whole, black america would still benefit substantially",disadvantaged,JJ,,,
8470,jm,i've experienced two of them lately,experienced,VBN,,,
8478,jm,"only in the late 19th century did the custom settle in, as ordinary among western music patrons, that one sit politely through pieces of considerable length that didn't occasionally, and deliberately, dazzle audiences with virtuoso feats",late,JJ,,,
8538,jm,"there was once a sorry tradition among white critics of condemning any black music beyond the hot or bluesy as inauthentic, expecting black composers and lyricists to stay in their supposedly prescribed place",expecting,VBG,,,
8648,jm,"black english even has a future perfect of disapproval: ""i'll be done left if she tries getting here late again",late,RB,,,
8659,jm,i have been especially excited about the project of late because of a couple of major finds that are getting us ever closer to having all the songs and more,late,JJ,,,
8714,jm,jesse jackson in the late 1980s,late,JJ,,,
8910,jm,"a most interesting recent paper in the proceedings of the national academy of sciences -- examining what its authors describe as ""the surge of post-truth political argumentation"" -- proposes that of late, english speakers and writers are more given to using intuition than reason",late,JJ,,,
8966,jm,"it's probably no accident that using this kind of ""like"" took off in the 1980s, just as the overall change the authors of our paper note did",accident,NN,,,
9018,jm,"do you believe that it's mission-critical for doctors to describe people in particular danger of contracting certain diseases not as ""vulnerable (or disadvantaged)"" but as ""oppressed (or made vulnerable or disenfranchised)""",disadvantaged,VBN,,,
9052,jm,"or, based on the same sociopolitical perspective, what is the utility of replacing the statement, ""low-income people have the highest level of coronary artery disease in the united states"" with ""equity-focused language that acknowledges root causes"" like ""people underpaid and forced into poverty as a result of banking policies, real estate developers gentrifying neighborhoods, and corporations weakening the power of labor movements, among others, have the highest level of coronary artery disease in the united states""",low-income,JJ,,,
9131,jm,"project follow through, a huge investigation in the late 1960s led by education scholar siegfried englemann, taught 75,000 children via the phonics-based direct instruction method from kindergarten through third grade at 10 sites nationwide",late,JJ,,,
9256,jm,"but the change to terms like ""intellectually disabled"" exemplifies the euphemism treadmill i referred to in an earlier piece: ""crippled"" becomes ""handicapped"" becomes ""differently abled,"" and each new term tends to take on the old connotations",disabled,JJ,,,
9336,jm,"but i hear from an experienced conductor that several orchestras have turned down his requests to perform or record it with them, out of wariness of the word ""negro"" in its title",experienced,JJ,,,
9465,jm,""" taking in the metropolitan opera's fine production a few days ago, i experienced the opera for the first time as an imperious touchstone rather than as a fascinating question",experienced,VBD,,,
9500,jm,"in her public persona -- in songs, interviews and her memorable turn as catwoman in the campy late 1960s ""batman"" series -- her signature became a vocal style splitting the difference between eleanor roosevelt and edith piaf",late,RB,,,
9524,jm,"in the late 1980s and early 1990s there was an explosion in black film where black english was woven throughout the dialogue, from spike lee's early work to john singleton's ""boyz n the hood",late,JJ,,,
9720,jm,"to wit: ""you and me know"" is not illogical and thus not a sign of sloppy thinking any more than saying ""i'm late, aren't i",late,JJ,,,
9736,jm,""" is illogical because you would never say ""i are late",late,JJ,,,
9742,jm,"when i became a musicals addict in the '80s, i noticed that there was a type of 50-something fan who had never taken to sondheim's music; they stopped roughly at ""fiddler on the roof,"" ""mame"" and ""pippin",addict,NN,,,
9883,jm,"""woke"" has also followed a trajectory similar to that of the phrase ""politically correct,"" which carried a similar meaning by the late 1980s and early 1990s: ""politically correct,"" unsurprisingly, went from describing a way of seeing the world to describing the people who saw the world that way to describing the way other people felt about the people who saw the world that way",late,JJ,,,
9936,jm,a gallup survey conducted in late 2018 found that 61 percent of americans generally favored race-based affirmative action,late,JJ,,,
9960,mc,"one of her predecessors, john nance garner, once colorfully dismissed the job as ""not worth a bucket of warm piss",dismissed,VBN,,,
10005,mc,"with americans living longer and aging baby boomers flooding the system, the financial strain is becoming unsustainable",aging,VBG,,,
10026,mc,"with the risk of open-ended claim costs largely neutralized, insurers could provide better, more affordable policies",neutralized,JJ,,,
10069,mc,"nursing homes stands at more than 133,000, accounting for more than 1 in 5 of the nation's pandemic fatalities",fatalities,NNS,,,
10101,mc,"experts cheer the effort as crucial to addressing the challenges of america's fast-graying population, a trend fueled by better medical care, longer life spans and a flood of aging baby boomers",aging,VBG,,,
10116,mc,"as the name suggests, they take a highly medicalized approach to aging, and, by design, are reminiscent of hospitals",aging,VBG,,,
10142,mc,"on the other side are long-haulers needing custodial care, mostly seniors and the severely disabled",disabled,JJ,,,
10168,mc,"among the more interesting reform possibilities being discussed is a shift toward smaller, more self-contained, unconventional facilities that reflect the evolving attitude toward aging",aging,VBG,,,
10171,mc,""" of late, ms",late,JJ,,,
10176,mc,trump as expecting too much groveling,expecting,VBG,,,
10190,mc,"""for months now, trump's been playing the aging silent film star norma desmond in 'sunset boulevard' to desantis's younger, prettier betty schaefer,"" she wrote in her column wednesday, which closed with this punch to the throat: ""give voters a populist conservative who's not a con man and a liar and they'll be 'republicans' again",aging,VBG,,,
10256,mc,"so, too, was an effort to neutralize the toxic politics of the trump era -- which, among other damage, spawned a large reality-free zone in which the bulk of republicans buy the lie that the 2020 presidential election was stolen",neutralize,VB,,,
10295,mc,"both bills have experienced multiple near-death experiences, and many, many americans were beginning to doubt whether democrats had what it takes to get anything done",experienced,VBN,,,
10319,mc,"late into the night, there were arms being twisted, egos being stroked and deals being cut",late,RB,,,
10362,mc,"""we can't have a strong economy when we have millions of other people dropping out of the work force to take care of elderly loved ones",elderly,JJ,,,
10378,mc,"over the next decade, the demand for these workers will balloon as aging baby boomers require more, and more advanced, care",aging,VBG,,,
10398,mc,"the house passed its version of the bill in late september, and lawmakers from both parties have been frustrated with the senate majority leader, chuck schumer, over delays in his chamber",late,JJ,,,
10439,mc,biden's call to invest $400 billion in community-based and in-home care for older and disabled people,disabled,JJ,,,
10457,mc,"for decades, experts have been warning that increased life expectancy, falling birthrates and the aging of the huge baby boomer generation were on track to create a rolling demographic disaster: more seniors needing more care, with fewer younger people around to provide it",aging,NN,,,
10497,mc,"tens of millions of americans provide unpaid care to aging family members, often at enormous cost to the caregivers' economic, mental and physical well-being",aging,VBG,,,
10523,mc,"the house dissolved its permanent select committee on aging more than a quarter-century ago, largely as a cost-cutting measure",aging,VBG,,,
10544,mc,most people don't talk about or plan for aging and death,aging,VBG,,,
10580,mc,tending to aging relatives is simply seen as what good sons and daughters do,aging,VBG,,,
10602,mc,"they also contend that because the caregivers are so often low-income women of color, the work itself is undervalued",low-income,JJ,,,
10616,mc,""" but with an aging nation putting growing strain on the system, policymakers might want to spend less time fretting over how to classify the issue than addressing it",aging,VBG,,,
10648,mc,"the illinois lawmaker has been an outspoken trump critic, voting for impeachment this year and serving on the jan",outspoken,JJ,,,
10747,mc,warning that he was the target of russian disinformation -- which he said he dismissed because it was too vague and he suspected it of being a political ploy,dismissed,VBD,,,
10774,mc,greg abbott of texas has been going through a bumpy stretch of late,late,JJ,,,
10786,mc,"is reportedly looking into whether he inappropriately did favors for a wealthy political donor who hired a woman with whom the attorney general, who is married, was said to have had an affair",wealthy,JJ,,,
10812,mc,his fund-raising late last year was looking pitiful until his election suit,late,RB,,,
10829,mc,"in some cases, they can be dismissed as lies -- mr",dismissed,VBN,,,
10837,mc,"party leaders announced late last week that they had worked out a revenue ""framework,"" but their troops seemed to have no clue what they were talking about",late,RB,,,
10888,md,""" earth to donald: after five years of stoking fear and hurting dreams, it's a little late",late,JJ,,,
10894,md,"he told me about his late grandmother in durham, n",late,JJ,,,
10923,md,"when andre would see me getting ready to go out in a wrinkled cocktail dress, he would fold his arms over his chest and order me to go change, or risk looking like ""a roadshow rita hayworth",chest,NN,,,
10956,md,""" as his friend diane von furstenberg told me, when vreeland's eyesight failed her late in life, andre went to that famous red apartment and read to her",late,JJ,,,
11033,md,"mirabile dictu: a president and senator who are both pushing 80, men who were underestimated and dismissed for years in democratic circles, are now teaming up to transform the country",dismissed,VBN,,,
11052,md,"he spoke of his late son, beau, his ""north star,"" who was deployed to iraq",late,JJ,,,
11131,md,"republicans, once the outspoken defenders of law enforcement, deserted the capitol en masse on a day of appreciation for the bravery of the police, dead and alive, who risked their lives holding back the horde, hellbent on shredding democracy, as well as lawmakers, if they could get their hands on them",outspoken,JJ,,,
11189,md,it may be too late for negotiating incremental change,late,JJ,,,
11234,md,"unfortunately for us, we won't know the answers until it is too late",late,JJ,,,
11265,md,""" when she was called to harlem hospital, she said, ""walking up those steps, seeing everybody staring at me, was the scariest moment i've experienced",experienced,VBN,,,
11280,md,"if she's here to fight for corporate power and lower taxes for the wealthy and get more money for pharma executives, be on the level and say it",wealthy,NN,,,
11353,md,"the book, ineffably sad and beautifully written, tears the tabloid face off the story about an american family that has experienced the highest of highs and the lowest of lows",experienced,VBN,,,
11384,md,", learning how to cook crack in his chateau marmont bungalow, he still manages to write letters addressed to his late brother, telling him how much he would have loved california",late,JJ,,,
11428,md,"edward house serving as a de facto chief diplomat for woodrow wilson, negotiating the world war i armistice and the doomed treaty of versailles, until edith wilson came along and dismissed him as ""a perfect jellyfish",dismissed,VBD,,,
11438,md,"""by the late 1960s,"" ginsberg writes, ""f",late,JJ,,,
11493,md,""" the heart-rending police testimony was dismissed by most republicans and fox news as ""political theater",dismissed,VBN,,,
11514,md,"as the times's katie benner reported friday, as late as dec",late,RB,,,
11522,md,"(bush senior later publicly dismissed them as ""iron ass"" cheney and ""arrogant"" rumsfeld",dismissed,VBN,,,
11549,md,"washington -- ordinarily staid and silent supreme court justices have become whirling dervishes of late, spinning madly to rebut the idea that americans are beginning to regard the court as a dangerous cabal of partisan hacks",late,JJ,,,
11586,md,"justices should not be on the court for 30 years, or into their late 80s",late,JJ,,,
11631,mg,"it's possible that the justices could gut roe without overturning it outright, but after they let texas' abortion bounty law stand, at least for the time being, i'm expecting the worst",expecting,VBG,,,
11653,mg,""" as the journalist azmat khan wrote on twitter, ""many young people in rural battlefields have never experienced life without war, without u",experienced,VBN,,,
11754,mg,"in an aging country with a low birthrate, they were a useful addition to the work force",aging,JJ,,,
11799,mg,"for example, the guide suggests replacing ""vulnerable"" with ""oppressed,"" even though they're not synonymous: it's not oppression that makes the elderly vulnerable to covid",elderly,JJ,,,
11811,mg,"bill has a very specific sort of irony-laden aging hipster sensibility, one that is in many ways my own",aging,VBG,,,
11888,mg,"'"" this is so histrionic that it suggests the usually sober economist is in the grips of extremely strong emotions",sober,JJ,,,
11927,mg,"isis' indiscriminate brutality, especially against other muslims, appalled an earlier generation of jihadists; some of al qaeda's original leadership ended up like many other aging, disillusioned radicals, disgusted by the excesses of their progeny",aging,VBG,,,
12063,mg,it's hard to appreciate being well when you're expecting to be ill imminently,expecting,VBG,,,
12098,mg,"in 2013, a peer-reviewed study by national advocates for pregnant women, a reproductive justice organization, found 413 cases from 1973 to 2005 of women arrested or otherwise deprived of liberty because they were accused of endangering or harming their fetuses",deprived,VBN,,,
12135,mg,"recently, on the anniversary of ruth bader ginsburg's death, the american civil liberties union set out to pay tribute to her pro-choice heroism, and ended up making the sort of self-parodic blunder the right salivates over",pro-choice,JJ,,,
12172,mg,yet i think there's a difference between acknowledging that there are men who have children or need abortions -- and expecting the health care system to treat these men with respect -- and speaking as if the burden of reproduction does not overwhelmingly fall on women,expecting,VBG,,,
12216,mg,"""one of the great benefits, and one of the things that's most exciting for the pro-life movement, is that they have a role in enforcing this law,"" john seago, the group's legislative director, told cnn",pro-life,JJ,,,
12263,mg,"on tuesday, the fort worth branch of whole woman's health, a chain of abortion clinics, stayed open late into the night to take care of desperate patients before the law went into effect, completing a last abortion at 11:56 p",late,RB,,,
12295,mg,but now these folks have this whole tool chest full of ways that they can harass them,chest,JJS,,,
12319,mr,"many of us -- perhaps most of us -- know better now, despite the troubled history books we learned from",troubled,JJ,,,
12379,mr,with any luck it will also remind us that such places were not saved from development by accident,accident,NN,,,
12400,mr,"nashville -- god knows i didn't visit the tennessee state museum last week to pay my respects to the bust of nathan bedford forrest, but while i was there i figured i might as well take a look",bust,NN,,,
12427,mr,""" the next month, the giant bust of forrest was removed from the tennessee state capitol, where it has been generating controversy since it was installed in 1978",bust,NN,,,
12488,mr,"forrest's role as a slave trader and ku klux klan leader, among other depredations, is clearly explained in the permanent exhibition, and this historical context is very different from the place of honor the bust occupied in the capitol",bust,NN,,,
12496,mr,dorris died in late 2020,late,JJ,,,
12506,mr,"(disclosure: my first book, ""late migrations,"" won the group's 2020 book award",late,JJ,,,
12529,mr,"black or brown or white, wealthy or struggling, they are troubled to see a sign on a riverbank warning that the fish are contaminated and unsafe to eat",troubled,JJ,,,
12718,mr,"public discourse is so troubled these days, so beset by fury and despair, that surely there's no harm in sharing a little joy",troubled,JJ,,,
12764,mr,""" ""no one is ever going to sit in these uncomfortable chairs,"" my husband said, shoving a bureau from his late aunt down a bit to make room",late,JJ,,,
12795,mr,"we held a beloved father's hand as he left this world, and now we can't just send his prized tool chest off into the void",chest,JJS,,,
12819,mr,""" on the subject of electric vehicles, mitch mcconnell, the republican senator from kentucky, has also experienced a come-to-jesus transformation of late",experienced,VBN,,,
12826,mr,"an elderly dog may have been fed only kibble in all the years of his long life, but he will nevertheless haul his arthritic self to his feet and wander into the kitchen, confident that this time the lasagna sitting on the counter will be his",elderly,JJ,,,
12876,mr,who could be troubled by a blanket made of light,troubled,VBN,,,
12899,mr,"her desk was a small secretary, the furniture equivalent of an arranged marriage between a chest of drawers and a glass-fronted bookcase",chest,NN,,,
12919,mr,"i was not a particularly brave child, but the scary faces never troubled me",troubled,VBN,,,
12938,mr,"sissy gardner, who is the assistant floor manager at parnassus, and who belonged to the late bear, climbed down off the ladder where she was shelving books",late,JJ,,,
12952,mr,"being troubled by works of classic literature is widespread across the american south, most often out of concern that a text might make children uncomfortable, and book bans are dramatically increasing",troubled,VBN,,,
13001,mr,"the new district will meander east through parts of rural wilson county and south through parts of wealthy williamson county, then further south through marshall and maury counties, before turning west to enfold lewis county",wealthy,JJ,,,
13024,mr,"the joe pye weed is in full, glorious bloom; bumblebees embrace it with the urgency of love",weed,NN,,,
13073,mr,"pokeweed seeds are planted by birds, falling to the soil in their droppings",droppings,NNS,,,
13115,mr,"a midsize city on its way to becoming a big city can be all these things at once, of course, especially if it is a midsize city that is growing deliberately, in ways that do not displace its low-income residents or its work force",low-income,JJ,,,
13164,mr,"in the utter failure to understand what ""pro-life"" really means tournament, normally a very close battle in the red states, texas is currently uncontested: its leaders just made it easier to carry a gun and harder to end an unwanted pregnancy in the same week",pro-life,JJ,,,
13250,mr,"we could not stop talking about how happy we would be to sit in a movie theater again, to hear live music again, to go to church and sing out loud again, to sit and talk around a table again, late into the night, with no care for how long we had been breathing the same air",late,RB,,,
13272,mr,it clearly benefits the wealthy for taxes to be low or nonexistent and for poor people to be incurious and compliant,wealthy,NN,,,
13302,mr,one of the cards i got last week featured a vintage photograph of plump women in swimsuits who looked remarkably like me in my swimsuit,plump,JJ,,,
13329,mr,"this is just who i am now, a person who looks exactly like her late mother, despite far more exercise and a far healthier diet",late,JJ,,,
13346,mr,sorrow in the face of aging would be a poor response to such good fortune,aging,VBG,,,
13379,mr,"i fault the pastors and other community leaders for failing to teach their membership about the need to protect the vulnerable -- the elderly and the sick and the babies, for god's sake -- through widespread vaccination of the healthy",elderly,JJ,,,
13444,nk,"wealthy countries would do so much better economically with a global vaccination campaign that curbed the pandemic that they would generate an additional $1 trillion in tax revenue, the i",wealthy,JJ,,,
13481,nk,"when the virus ravages a low-income country, young girls are pulled out of school and are married off",low-income,JJ,,,
13514,nk,the highest return on investment in america today isn't in private equity but in early childhood initiatives for disadvantaged kids of all races,disadvantaged,JJ,,,
13541,nk,"in the late 1990s and early 2000s, boston offered public programs for 4-year-olds but couldn't meet demand, so a lottery was used to determine which children to accept",late,JJ,,,
13586,nk,these initiatives would do for children and families what social security and medicare did for the elderly,elderly,JJ,,,
13625,nk,"the blunt fact is that it is democrats -- including those who run the west coast, from california through oregon to washington state -- who have presided over one of the worst blows to the education of disadvantaged americans in history",disadvantaged,JJ,,,
13643,nk,"rich kids going to private schools glide on through life mostly unaffected, while low-income children often don't even have internet to attend zoom classes",low-income,JJ,,,
13705,nk,"""we have to acknowledge that there is a large percentage of kids that have 'disappeared' -- students who have never logged in, or logged in and never fully engaged,"" said melissa connelly, chief executive of onegoal, a nonprofit that does outstanding work with low-income high school students",low-income,JJ,,,
13711,nk,"likewise, wealthy white americans benefit from single-family zoning laws in the suburbs around those fine ""public"" schools",wealthy,JJ,,,
13738,nk,the effect of this zoning is to freeze out low-income families and keep neighborhoods more segregated,low-income,JJ,,,
13827,nk,other kids wish they could take away an elderly parent's car keys; the joyner kids wish they could take away their dad's megaphone,elderly,JJ,,,
13848,nk,""" the most outspoken is anna jane, who says her father's rhetoric became more extreme in recent years",outspoken,JJ,,,
13874,nk,"soon after, she nearly died in a boating accident -- and the first person she called was her dad",accident,NN,,,
13892,nk,"8 million for onegoal, which helps low-income students in the united states, and $2",low-income,JJ,,,
13919,nk,"tani had one of the fastest rises, for he began playing chess only at the relatively late age of 7",late,JJ,,,
14005,nk,"the late eyad el-sarraj, a prominent psychiatrist in gaza, described this dynamic when i visited him during a past cycle of violence: ""extremists need each other, support each other",late,JJ,,,
14051,nk,consider that it was israel itself that helped nurture hamas back in the late 1980s and the 1990s,late,JJ,,,
14090,nk,", who is just 35, will become king upon the death of his aging father and rule recklessly for many years, creating chaos in the gulf and a rupture in saudi-american relations that would last decades",aging,VBG,,,
14150,nk,"tawakkol karman, a yemeni woman who won the nobel peace prize for her leadership during the arab spring, told me that the world is waiting to see if biden will press regimes to release detainees and uphold women's rights",detainees,NNS,,,
14256,nk,"former house speaker newt gingrich warned on fox news that democrats are trying to ""exterminate the republicans",exterminate,VB,,,
14281,nk,"""both are deprived,"" goldin writes",deprived,VBN,,,
14343,pk,""" if you ask me, greene was performing a public service; we all need some good laughs, especially given the demise of the borscht belt",demise,NN,,,
14383,pk,tax breaks -- essentially giving wealthy people money and hoping that it would trickle down -- became the solution to every problem,wealthy,JJ,,,
14406,pk,"there's overwhelming evidence that helping disadvantaged children makes them much healthier and more productive when they reach adulthood; the benefits are so large that even in a narrowly fiscal sense, aid to children may well pay for itself over the long run",disadvantaged,VBD,,,
14456,pk,"most of what i write, inevitably, focuses on the troubled prospects for our republic",troubled,JJ,,,
14488,pk,"but america is doing especially badly because it isn't a highly vaccinated country: after a strong start, its vaccination drive fell far behind other wealthy nations",wealthy,JJ,,,
14507,pk,so the trump tax cut was just the latest in a long series of giveaways to the wealthy that were sold on false pretenses,wealthy,NN,,,
14532,pk,"we've had more deaths, as a percentage of the population, than any other large, wealthy nation, with the disparity even wider during the omicron wave than it was before",wealthy,JJ,,,
14637,pk,"finally, while republican politicians routinely claim that democrats are anti-american and that democratic proposals are marxist, history tells us that the key elements of the legislation we're probably about to see -- aid to middle-class and poor children together with higher taxes on the wealthy -- are quintessentially american ideas",wealthy,NN,,,
14651,pk,"they also explicitly called for taxes on the wealthy as a way to limit inequality, and in particular to prevent the emergence of a hereditary oligarchy",wealthy,NN,,,
14674,pk,it's been a troubled few months on the economic front,troubled,JJ,,,
14735,pk,"it wasn't even really a proposal for public investment; to a large extent it was an exercise in crony capitalism, a scheme for taxpayer-subsidized private investment that would, like the ""opportunity zones"" that were part of the 2017 tax cut, mainly have ended up showering benefits on wealthy developers",wealthy,NN,,,
14753,pk,"republicans were, of course, opposed to new taxes, especially on corporations and the wealthy; they also claimed to be against additional government borrowing",wealthy,NN,,,
14771,pk,there's overwhelming evidence that children in low-income families who receive financial aid are significantly healthier and more productive than those who didn't once they become adults,low-income,JJ,,,
14804,pk,"that is, covid-19 may have cost fewer jobs than the dot-com bust",bust,NN,,,
14814,pk,with everything else going on -- the likely imminent demise of roe v,demise,NN,,,
14823,pk,the obvious explanation is that wealthy russians have been skimming off large sums and parking them abroad,wealthy,JJ,,,
14846,pk,"still, the determined and so far successful opposition of incredibly wealthy americans to any effort to tax them like normal people raises a couple of questions",wealthy,JJ,,,
14870,pk,"and in case you're wondering, the wealthy didn't manage to dodge all of the taxes being imposed",wealthy,NN,,,
14886,pk,"true, many very wealthy people seem to consider moneymaking a game, in which the goal is to outperform their rivals; but standings in that game wouldn't be affected by a tax all the players have to pay",wealthy,JJ,,,
14927,pk,"does stand out among wealthy countries for having a low minimum wage, for offering very little vacation time and for failing to offer parental and sick leave",wealthy,JJ,,,
14980,rd,"in one of the more arresting videos that circulated after the fall of kabul, a journalist follows a collection of taliban fighters into a hangar containing abandoned, disabled u",disabled,JJ,,,
14984,rd,"we have experienced similar failures, with less bloodshed but more significant strategic consequences, in our recent efforts to americanize potential rivals",experienced,VBN,,,
15025,rd,"as david wallace-wells noted recently for new york magazine, in theory current rates of vaccination, particularly among the elderly, ""should mean that a large share of the country's overall mortality risk has been eliminated",elderly,JJ,,,
15068,rd,"a big push for boosters should have begun once we had reasonable evidence of waning vaccine effectiveness -- which is to say, in late summer or early fall",late,JJ,,,
15097,rd,""" otherwise, both for democrats' political fortunes and for the lives of thousands more americans, the post-covid era may arrive too late",late,JJ,,,
15152,rd,"finally, the vaulting ambitions of cultural progressivism, the march of activist ideas through elite institutions and public bureaucracies, have given republicans a chance to regain the culture-war advantages that they lost during the socially liberal years between bill clinton's impeachment and the supreme court's establishment of a right to same-sex marriage",same-sex,JJ,,,
15160,rd,wade might (depending on the pro-life movement's response) send the public-opinion pendulum swinging back toward social liberalism,pro-life,JJ,,,
15311,rd,"as bad as the coronavirus has been, most people who get it still come out ok, children are especially unlikely to be hospitalized or die, and deaths are concentrated in a population, the elderly in nursing homes, that (to our shame) we already keep somewhat out of mind",elderly,JJ,,,
15332,rd,"whereas if the fatality figures were one-tenth as high, i suspect there would be much more internal liberal debate over the wisdom of the sweeping early response",fatality,NN,,,
15387,rd,"that range is vastly lower than the pandemic death rate, but it's moderately higher than estimates for the seasonal flu and probably high enough to keep case and fatality numbers in the headlines in 2022 and beyond",fatality,NN,,,
15566,rd,"and especially not our aging president's two obvious heirs, kamala harris and pete buttigieg, who built their careers in deep-blue precincts, embodying aspects of elite progressivism that have dubious national appeal",aging,VBG,,,
15668,rd,"but this created a fundamental imbalance in the party's conversation: with the sanders faction trying to pull the party toward social democracy and the establishment acting as if its major challenges were russian bots and nefarious facebook memes, there was hardly anyone left to point out the ways that democrats might be in danger of moving too far left -- and the writers who did so were generally dismissed as dinosaurs",dismissed,VBN,,,
15692,rd,"instead they would imitate the way obama himself, in his first term, tried to finesse issues like immigration and same-sex marriage, sometimes using objectively conservative rhetoric and never getting way out ahead of public opinion",same-sex,JJ,,,
15731,rd,"as this shift was happening, the democrats were moving leftward on most fronts, following public opinion at first (on same-sex marriage, for instance) but then arguably outpacing it",same-sex,NN,,,
15827,rd,"rallying so-called values voters, a christian and churchgoing voting bloc, against secularism, sexual liberation and same-sex marriage",same-sex,JJ,,,
15917,rd,"but in the end the race would be close, there would be some exciting constitutional-crisis possibilities in the aftermath, and if the democrats pulled it out, well, their majorities would be slim and 2026 would be just around the corner",slim,VBN,,,
15995,rd,"but still, there's no question that the current administration's coverage has been pretty grim of late",late,JJ,,,
16043,rd,"forgiving yesterday's student debt is well and good, but i suspect that if you took the billions of dollars of higher-ed money being pondered in the build back better plan and set up a group of national public universities aimed at offering low-cost educations to low-income americans, you would do more good than sluicing it through the system that saddled all those kids with debt in the first place",low-income,JJ,,,
16113,rd,"today, laws modeled on that act are opposed by many liberals, on the grounds that they offer too much protection for religious weirdos -- meaning now not peyote-ingesting oregonians but the christian baker who doesn't want to make a cake for a same-sex wedding",same-sex,JJ,,,
16117,rd,"but by late spring of 2020, the entire dynamic was reversed: liberals supported tough government interventions to fight the virus, the right was full of fierce libertarians, and so it has mostly remained",late,JJ,,,
16220,rd,"but it's also useful to do in-group/out-group analysis, which suggests that conservatives were more willing to support limitations on liberty that fell on foreigners and international travelers -- to them, out-groups -- but balked at restrictions that seemed to fall most heavily on their own in-groups, from the owners of shuttered businesses to the pastors of closed churches to the parents of small children deprived of school",deprived,VBN,,,
16274,sb,"the supreme court late wednesday night took a break from its summer recess to allow the most restrictive abortion law in the nation to take effect in texas, raising alarm among people who support abortion rights -- and even some who don't",late,JJ,,,
16322,sb,there's nothing that rewards being a sober moderate who believes in democracy and tries to govern by consensus,sober,NN,,,
16340,sb,""" some have traced america's troubled relationship with haiti back to its founding as the first nation to permanently abolish slavery -- at the cost of some $28 billion in reparations that french enslavers demanded from haitians in return",troubled,JJ,,,
16381,sb,"""we've got to be sober here about what our infrastructure gap is in terms of a level of investment and go into this eyes wide open, that this is not going to solve our infrastructure problems across the nation,"" he told the associated press",sober,VBN,,,
16430,sb,4 percent have been administered in low-income countries,low-income,JJ,,,
16434,sb,"""for wealthy countries, this strategy means they will be indefinitely chasing their tails in terms of new variants",wealthy,JJ,,,
16454,sb,"these groups experienced a period of relative inactivity, according to a report by the digital forensic research lab at the atlantic council, but have resurfaced in recent months with a focus on local policies and government",experienced,VBD,,,
16519,sb,"to keep global warming below two degrees celsius above preindustrial levels, the limit established by the paris climate accord, the world resource institute says much of the wealthy world needs to cut its beef and lamb consumption by 40 percent -- and that's on the low end of such estimates",wealthy,JJ,,,
16588,sb,"""now, when i do simmer up a pot of beef short ribs (or smear cream cheese on my bagel, or go for sushi), i'm thoughtful and deliberate about it, which makes it taste even more delicious, seasoned with anticipation",seasoned,VBN,,,
16596,sb,"since the three mile island accident in 1979, the construction time for most reactors in the united states has exceeded 10 years, allison macfarlane notes in foreign affairs",accident,NN,,,
16683,sb,"""as long as the disease continues to circulate, even the vaccinated elderly will continue to be vulnerable to some extent,"" he wrote",elderly,RB,,,
16703,sb,"most of those gains accrued to the wealthy -- the soaring stock market caused their fortunes to balloon, further widening wealth inequality -- but low- and middle-income households also saw their savings grow",wealthy,NN,,,
16735,sb,""" yellen, however, dismissed the idea as ""a gimmick,"" equivalent to ""asking the federal reserve to print money to cover deficits that congress is unwilling to cover by issuing debt",dismissed,VBD,,,
16768,sb,"at this late hour, consumption itself has to be curtailed",late,JJ,,,
